#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
146;34;Tanne;101;Tanne_1_34;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
147;34;Tanne;101;Tanne_1_34;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
148;34;Tanne;101;Tanne_1_34;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
149;34;Tanne;101;Tanne_1_34;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;34;Tanne;101;Tanne_1_34;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
150;35;Tanne;101;Tanne_2_35;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
151;35;Tanne;101;Tanne_2_35;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
152;35;Tanne;101;Tanne_2_35;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
153;35;Tanne;101;Tanne_2_35;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
154;35;Tanne;101;Tanne_2_35;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;35;Tanne;101;Tanne_2_35;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
155;36;Fichte;100;Fichte_1_36;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
156;36;Fichte;100;Fichte_1_36;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
157;36;Fichte;100;Fichte_1_36;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
158;36;Fichte;100;Fichte_1_36;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;36;Fichte;100;Fichte_1_36;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
159;37;Fichte;100;Fichte_2_37;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
160;37;Fichte;100;Fichte_2_37;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
161;37;Fichte;100;Fichte_2_37;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
162;37;Fichte;100;Fichte_2_37;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;37;Fichte;100;Fichte_2_37;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
163;38;Fichte;100;Fichte_3_38;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
164;38;Fichte;100;Fichte_3_38;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
165;38;Fichte;100;Fichte_3_38;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
166;38;Fichte;100;Fichte_3_38;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;38;Fichte;100;Fichte_3_38;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
167;39;Tanne;101;Tanne_1_39;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
168;39;Tanne;101;Tanne_1_39;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
169;39;Tanne;101;Tanne_1_39;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
170;39;Tanne;101;Tanne_1_39;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
171;39;Tanne;101;Tanne_1_39;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;39;Tanne;101;Tanne_1_39;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
172;40;Tanne;101;Tanne_2_40;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
173;40;Tanne;101;Tanne_2_40;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
174;40;Tanne;101;Tanne_2_40;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
175;40;Tanne;101;Tanne_2_40;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
176;40;Tanne;101;Tanne_2_40;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;40;Tanne;101;Tanne_2_40;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
177;41;Fichte;100;Fichte_1_41;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
178;41;Fichte;100;Fichte_1_41;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
179;41;Fichte;100;Fichte_1_41;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
180;41;Fichte;100;Fichte_1_41;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;41;Fichte;100;Fichte_1_41;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
181;42;Fichte;100;Fichte_2_42;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
182;42;Fichte;100;Fichte_2_42;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
183;42;Fichte;100;Fichte_2_42;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
184;42;Fichte;100;Fichte_2_42;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;42;Fichte;100;Fichte_2_42;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
185;43;Fichte;100;Fichte_3_43;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
186;43;Fichte;100;Fichte_3_43;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
187;43;Fichte;100;Fichte_3_43;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
188;43;Fichte;100;Fichte_3_43;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;43;Fichte;100;Fichte_3_43;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
189;44;Tanne;101;Tanne_1_44;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
190;44;Tanne;101;Tanne_1_44;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
191;44;Tanne;101;Tanne_1_44;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
192;44;Tanne;101;Tanne_1_44;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
193;44;Tanne;101;Tanne_1_44;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;44;Tanne;101;Tanne_1_44;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
194;45;Tanne;101;Tanne_2_45;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
195;45;Tanne;101;Tanne_2_45;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
196;45;Tanne;101;Tanne_2_45;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
197;45;Tanne;101;Tanne_2_45;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
198;45;Tanne;101;Tanne_2_45;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;45;Tanne;101;Tanne_2_45;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
199;46;Fichte;100;Fichte_1_46;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
200;46;Fichte;100;Fichte_1_46;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
201;46;Fichte;100;Fichte_1_46;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
202;46;Fichte;100;Fichte_1_46;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;46;Fichte;100;Fichte_1_46;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
203;47;Fichte;100;Fichte_2_47;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
204;47;Fichte;100;Fichte_2_47;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
205;47;Fichte;100;Fichte_2_47;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
206;47;Fichte;100;Fichte_2_47;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;47;Fichte;100;Fichte_2_47;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
207;48;Fichte;100;Fichte_3_48;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
208;48;Fichte;100;Fichte_3_48;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
209;48;Fichte;100;Fichte_3_48;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
210;48;Fichte;100;Fichte_3_48;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;48;Fichte;100;Fichte_3_48;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
211;49;Tanne;101;Tanne_1_49;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
212;49;Tanne;101;Tanne_1_49;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
213;49;Tanne;101;Tanne_1_49;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
214;49;Tanne;101;Tanne_1_49;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
215;49;Tanne;101;Tanne_1_49;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;49;Tanne;101;Tanne_1_49;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
216;50;Tanne;101;Tanne_2_50;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
217;50;Tanne;101;Tanne_2_50;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
218;50;Tanne;101;Tanne_2_50;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
219;50;Tanne;101;Tanne_2_50;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
220;50;Tanne;101;Tanne_2_50;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;50;Tanne;101;Tanne_2_50;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
221;51;Fichte;100;Fichte_1_51;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
222;51;Fichte;100;Fichte_1_51;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
223;51;Fichte;100;Fichte_1_51;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
224;51;Fichte;100;Fichte_1_51;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;51;Fichte;100;Fichte_1_51;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
225;52;Fichte;100;Fichte_2_52;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
226;52;Fichte;100;Fichte_2_52;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
227;52;Fichte;100;Fichte_2_52;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
228;52;Fichte;100;Fichte_2_52;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;52;Fichte;100;Fichte_2_52;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
229;53;Fichte;100;Fichte_3_53;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
230;53;Fichte;100;Fichte_3_53;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
231;53;Fichte;100;Fichte_3_53;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
232;53;Fichte;100;Fichte_3_53;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;53;Fichte;100;Fichte_3_53;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
233;54;Tanne;101;Tanne_1_54;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
234;54;Tanne;101;Tanne_1_54;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
235;54;Tanne;101;Tanne_1_54;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
236;54;Tanne;101;Tanne_1_54;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
237;54;Tanne;101;Tanne_1_54;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;54;Tanne;101;Tanne_1_54;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
238;55;Tanne;101;Tanne_2_55;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
239;55;Tanne;101;Tanne_2_55;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
240;55;Tanne;101;Tanne_2_55;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
241;55;Tanne;101;Tanne_2_55;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
242;55;Tanne;101;Tanne_2_55;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;55;Tanne;101;Tanne_2_55;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
243;56;Fichte;100;Fichte_1_56;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
244;56;Fichte;100;Fichte_1_56;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
245;56;Fichte;100;Fichte_1_56;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
246;56;Fichte;100;Fichte_1_56;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;56;Fichte;100;Fichte_1_56;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
247;57;Fichte;100;Fichte_2_57;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
248;57;Fichte;100;Fichte_2_57;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
249;57;Fichte;100;Fichte_2_57;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
250;57;Fichte;100;Fichte_2_57;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;57;Fichte;100;Fichte_2_57;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
251;58;Fichte;100;Fichte_3_58;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
252;58;Fichte;100;Fichte_3_58;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
253;58;Fichte;100;Fichte_3_58;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
254;58;Fichte;100;Fichte_3_58;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;58;Fichte;100;Fichte_3_58;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
255;59;Tanne;101;Tanne_1_59;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
256;59;Tanne;101;Tanne_1_59;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
257;59;Tanne;101;Tanne_1_59;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
258;59;Tanne;101;Tanne_1_59;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
259;59;Tanne;101;Tanne_1_59;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;59;Tanne;101;Tanne_1_59;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
260;60;Tanne;101;Tanne_2_60;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
261;60;Tanne;101;Tanne_2_60;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
262;60;Tanne;101;Tanne_2_60;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
263;60;Tanne;101;Tanne_2_60;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
264;60;Tanne;101;Tanne_2_60;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;60;Tanne;101;Tanne_2_60;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
265;61;Fichte;100;Fichte_1_61;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
266;61;Fichte;100;Fichte_1_61;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
267;61;Fichte;100;Fichte_1_61;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
268;61;Fichte;100;Fichte_1_61;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;61;Fichte;100;Fichte_1_61;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
269;62;Fichte;100;Fichte_2_62;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
270;62;Fichte;100;Fichte_2_62;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
271;62;Fichte;100;Fichte_2_62;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
272;62;Fichte;100;Fichte_2_62;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;62;Fichte;100;Fichte_2_62;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
273;63;Fichte;100;Fichte_3_63;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
274;63;Fichte;100;Fichte_3_63;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
275;63;Fichte;100;Fichte_3_63;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
276;63;Fichte;100;Fichte_3_63;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;63;Fichte;100;Fichte_3_63;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
277;64;Tanne;101;Tanne_1_64;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
278;64;Tanne;101;Tanne_1_64;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
279;64;Tanne;101;Tanne_1_64;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
280;64;Tanne;101;Tanne_1_64;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
281;64;Tanne;101;Tanne_1_64;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;64;Tanne;101;Tanne_1_64;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
282;65;Tanne;101;Tanne_2_65;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
283;65;Tanne;101;Tanne_2_65;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
284;65;Tanne;101;Tanne_2_65;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
285;65;Tanne;101;Tanne_2_65;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
286;65;Tanne;101;Tanne_2_65;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;65;Tanne;101;Tanne_2_65;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
287;66;Fichte;100;Fichte_1_66;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
288;66;Fichte;100;Fichte_1_66;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
289;66;Fichte;100;Fichte_1_66;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
290;66;Fichte;100;Fichte_1_66;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;66;Fichte;100;Fichte_1_66;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
291;67;Fichte;100;Fichte_2_67;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
292;67;Fichte;100;Fichte_2_67;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
293;67;Fichte;100;Fichte_2_67;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
